29901168,2000-04-18,16612737,16612751
29901153,2000-04-16,16612737,16612739
29901138,2000-04-14,16612737,16612755
29901086,2000-04-07,16612737,16612761
29901028,2000-03-30,16612737,16612756
29901013,2000-03-28,16612737,16612743
29900994,2000-03-25,16612737,16612766
29900961,2000-03-21,16612737,16612748
29900950,2000-03-19,16612737,16612742
29900932,2000-03-17,16612737,16612738
29900920,2000-03-15,16612737,16612754
29900891,2000-03-11,16612737,16612763
29900874,2000-03-09,16612737,16612759
29900838,2000-03-04,16612737,166127
29900832,2000-03-03,16612737,16612752
29900818,2000-03-01,16612737,16612764
29900705,2000-02-15,16612737,16612751
29900692,2000-02-09,16612737,16612745
29900654,2000-02-04,16612737,16612757
29900607,2000-01-28,16612737,16612752
29900587,2000-01-25,16612737,16612741
29900567,2000-01-22,16612737,16612764
29900533,2000-01-17,16612737,16612749
29900519,2000-01-15,16612737,16612755
29900459,2000-01-07,16612737,16612761
29900443,2000-01-05,16612737,16612765
29900405,1999-12-29,16612737,16612754
29900370,1999-12-23,16612737,16612739
29900333,1999-12-18,16612737,16612762
29900318,1999-12-16,16612737,16612747
29900299,1999-12-14,16612737,166127
29900275,1999-12-10,16612737,16612744
29900264,1999-12-08,16612737,16612746
29900235,1999-12-04,16612737,16612765
29900218,1999-12-02,16612737,16612758
29900185,1999-11-27,16612737,16612738
29900154,1999-11-23,16612737,16612748
29900138,1999-11-20,16612737,16612753
29900102,1999-11-16,16612737,16612766
29900037,1999-11-06,16612737,16612741
29900021,1999-11-04,16612737,16612749
29800717,1999-05-05,16612737,16612764
29800677,1999-04-30,16612737,16612754
29800660,1999-04-28,16612737,16612752
29800637,1999-04-25,16612737,16612749
29800614,1999-04-22,16612737,16612738
29800562,1999-04-16,16612737,16612753
29800507,1999-04-09,16612737,16612752
29800464,1999-04-04,16612737,16612766
29800449,1999-04-02,16612737,16612763
29800422,1999-03-30,16612737,16612765
29800401,1999-03-27,16612737,16612755
29800390,1999-03-26,16612737,16612741
29800375,1999-03-24,16612737,16612754
29800345,1999-03-20,16612737,16612749
29800335,1999-03-19,16612737,16612756
29800322,1999-03-17,16612737,16612748
29800284,1999-03-13,16612737,16612761
29800268,1999-03-11,16612737,16612738
29800214,1999-03-04,16612737,16612761
29800196,1999-03-02,16612737,16612764
29800132,1999-02-22,16612737,16612741
29800108,1999-02-19,16612737,16612753
29800053,1999-02-11,16612737,16612766
29800017,1999-02-06,16612737,16612751
29800005,1999-02-05,16612737,16612739
29701183,1998-04-19,16612737,16612748
29701167,1998-04-17,16612737,16612766
29701142,1998-04-14,16612737,16612755
29701108,1998-04-09,16612737,16612754
29701090,1998-04-07,16612737,16612752
29701078,1998-04-05,16612737,166127
29701063,1998-04-03,16612737,16612745
29701050,1998-04-01,16612737,16612761
29701026,1998-03-29,16612737,16612765
29701013,1998-03-27,16612737,16612741
29700988,1998-03-24,16612737,16612753
29700953,1998-03-19,16612737,16612749
29700922,1998-03-15,16612737,16612738
29700872,1998-03-08,16612737,16612739
29700861,1998-03-06,16612737,16612743
29700760,1998-02-20,16612737,16612763
29700746,1998-02-18,16612737,16612751
29700733,1998-02-16,16612737,16612753
29700719,1998-02-14,16612737,16612754
